Part number,Part name,Location,Price,Balance,Unit,Value,WH
200763,Shaft D35 L153mm (Gripper Cassette),810406,25.01,3.00,Pcs,75.03,STD
200786,Gear Pin X12-X26 (one piece wheel),810605,2.65,13.00,Pcs,34.45,STD
200852,Shims Flange X12 - 0.5 mm SS2333,800603,6.56,6.00,Pcs,39.36,STD
200854,Shims Flange X26 - 0.5 mm SS2333,800603,4.16,1.00,Pcs,4.16,STD
201071,Bracket ILME 8-pole (SS1312 2mm),810202,3.28,13.00,Pcs,42.64,STD
201072,Bracket ILME 16-pole (SS1312 4mm),810102,4.44,4.00,Pcs,17.76,STD
201789,"Shims gripper arm T=0,5",810606,0.50,11.00,Pcs,5.50,STD
202080,Swivel lock X04 - SS2333 3mm,810404,2.38,1.00,Pcs,2.38,STD
202110,Bearing Axial X04/X06+,800602,33.23,1.00,Pcs,33.23,STD
202201,Guiding pin CuZn39Pb3 (SS5170),810603,1.60,56.00,Pcs,89.60,STD
202590,Locking Bushing Swivel X04/06+,810605,1.39,2.00,Pcs,2.78,STD
203058,Worm X04/X06+,800501,250.31,1.00,Pcs,250.31,STD
203059,Connection Flange Motor X04/X06,800504,27.88,1.00,Pcs,27.88,STD
203061,Bearing Segment X04/X06,800504,19.28,11.00,PR,212.08,STD
203085,Adapter Flange (Motor BG),810505,12.39,1.00,Pcs,12.39,STD
203357,Gearbox Top Cover X04/X06+,800604,29.36,2.00,Pcs,58.72,STD
203395,Mounting Tool for Seal M16 D45,WORKSHOP,145.69,1.00,Pcs,145.69,STD
203395,Mounting Tool for Seal M16 D45,KIT SHELF 010108,145.69,1.00,Pcs,145.69,STD
203628,"Shims for X04 Bearing SS2333 0,2mm",810504,1.10,11.00,Pcs,12.10,STD
203780,Shaft D60 tilt rear X18 Cromax,050101,30.33,4.00,Pcs,121.32,STD
203781,Shaft D60 tilt front X18 Cromax,050101,31.97,2.00,Pcs,63.94,STD
203782,Shaft D35 tilt cyl. X14/X18/X26 Cromax,810406,22.25,4.00,Pcs,89.00,STD
203783,Shaft D30 tilt cylinder X12 Cromax,810406,21.08,4.00,Pcs,84.32,STD
203784,Shaft D70 Tilt rear X26 cromax,050201,37.10,6.00,Pcs,222.60,STD
